player_slug,nazwa,klub_slug,gk_bramki-stracone,gk_czyste-konta,gk_gk-dlugie-podania-celne,gk_gk-mecze-rozegrane,gk_gk-minuty-rozegrane,gk_gk-piastkowania,gk_gk-podania-celne,gk_gk-podania,gk_gk-rzuty-karne-przeciwko,gk_obronione-rzuty-karne,gk_obronione-strzaly,pole_asysty,pole_celne-strzaly,pole_celnosc-strzalow,pole_dogodne-szanse,pole_dosrodkowania-celne,pole_dosrodkowania,pole_dryblingi,pole_faule-wywalczone,pole_faule,pole_gole-z-gry,pole_gole-z-pola-karnego,pole_gole-z-rzutow-karnych,pole_gole,pole_kanadyjska,pole_karne-wykonane,pole_kluczowe-podania,pole_konwersja-strzalow,pole_minuty,pole_odbiory,pole_podania-celne-w-polowie-przeciwnika,pole_podania-celne,pole_podania-w-polowie-przeciwnika,pole_podania,pole_pojedynki-obronne-wygrane,pole_pojedynki-wygrane,pole_przechwyty,pole_rzuty-rozne,pole_spalone,pole_strzaly,pole_stworzone-dogodne-szanse,pole_wybicia,pole_xa,pole_xg,pole_xgot,pole_zablokowane-strzaly
rafa-janicki,Rafał JanickiGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,0,3,30,0,0,2,1,13,25,0,2,0,2,2,0,4,20,2871,20,425,0,552,1824,20,118,26,0,1,10,0,181,0.4,1.3,1.2,6
richard-jensen,Richard Olav JensenGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,0,0,0,0,2,0,416,4,88,0,123,298,4,24,11,0,0,3,0,11,0.5,0.2,0,1
sebastian-musiolik,Sebastian Karol MusiolikGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,3,15,56,0,2,11,15,21,17,2,4,0,4,7,0,6,15,1572,5,56,0,124,171,5,79,4,0,7,27,0,17,0.7,4.9,5.4,5
soichiro-kozuki,Soichiro KozukiGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,1,2,100,0,0,0,13,8,5,1,1,0,1,2,0,2,50,415,5,43,0,61,98,5,28,4,5,0,2,0,5,0.2,0.3,0.5,3
ukasz-jozef-podolski,Łukasz Józef PodolskiGórnik Zabrze,gornik-zabrze,0,0,0,0,0,0,0,0,0,0,0,4,12,33,0,4,24,18,22,20,3,2,0,3,7,0,28,8,1974,3,432,0,550,784,3,47,2,2,2,36,0,10,2.6,3.1,2.4,11
adrian-dieguez-grande,Adrián Diéguez GrandeJagiellonia Białystok,jagiellonia-bialystok,0,0,0,0,0,0,0,0,0,0,0,2,2,13,0,2,7,8,38,32,0,0,0,0,2,0,12,0,2626,27,657,0,910,2209,27,134,51,0,0,15,0,78,1.4,1,0.4,4
afimico-pululu,Afimico PululuJagiellonia Białystok,jagiellonia-bialystok,0,0,0,0,0,0,0,0,0,0,0,4,23,64,0,0,4,93,64,62,6,12,5,12,16,6,19,33,2027,7,207,0,293,391,7,151,2,0,21,36,0,5,3.6,10.4,5.9,12
alan-rybak,Alan RybakJagiellonia Białystok,jagiellonia-bialystok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,22,0,4,0,6,9,0,2,0,0,0,1,0,0,0,0,0,0
aurelien-thomas-nguiamba,Aurélien Thomas NguiambaJagiellonia Białystok,jagiellonia-bialystok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,6,0,0,0,0,0,0,2,0,195,3,100,0,112,201,3,13,3,0,0,0,0,4,0.6,0,0,0
bartomiej-wdowik,Bartłomiej WdowikJagiellonia Białystok,jagiellonia-bialystok,0,0,0,0,0,0,0,0,0,0,0,6,14,58,0,16,59,51,24,27,0,3,3,9,15,3,58,38,2947,39,857,0,1182,1878,39,162,44,128,0,24,0,53,5.4,3.6,4.1,10
