flash_team,expected_klub_slug,flash_name,candidate_player_slug,candidate_klub_slug,candidate_season,relation,score,reasons,candidate_nazwa
Jagiellonia Białystok,jagiellonia-bialystok,Pankiewicz S.,marcel-predenkiewicz,arka-gdynia,2025/26,same_season_other_club,80,sim>=0.78:0.783 | same_season_bonus,Marcel PredenkiewiczArka Gdynia
Jagiellonia Białystok,jagiellonia-bialystok,Szmyt K.,kajetan-szmyt,zagebie-lubin,2025/26,same_season_other_club,106,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:szmyt | token_overlap_slug:szmyt | sim>=0.92:1.000 | initial_match | same_season_bonus,Kajetan SzmytKGHM Zagłębie Lubin
Jagiellonia Białystok,jagiellonia-bialystok,Szmyt K.,kajetan-szmyt,warta-poznan,2023/24,past_season_other_club,104,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:szmyt | token_overlap_slug:szmyt | sim>=0.92:1.000 | initial_match,Kajetan SzmytWarta Poznań
Jagiellonia Białystok,jagiellonia-bialystok,Szmyt K.,kajetan-szmyt,zagebie-lubin,2024/25,past_season_other_club,104,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:szmyt | token_overlap_slug:szmyt | sim>=0.92:1.000 | initial_match,Kajetan SzmytKGHM Zagłębie Lubin
Korona Kielce,korona-kielce,Bąk D.,daniel-bak,korona-kielce,2023/24,past_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | sim>=0.92:1.000 | initial_match | same_club_bonus,Daniel BąkKorona Kielce
Korona Kielce,korona-kielce,Bąk D.,daniel-bak,korona-kielce,2024/25,past_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | sim>=0.92:1.000 | initial_match | same_club_bonus,Daniel BąkKorona Kielce
Korona Kielce,korona-kielce,Bąk D.,mateusz-bak,pogon-szczecin,2024/25,past_season_other_club,100,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | sim>=0.92:1.000,Mateusz BąkPogoń Szczecin
Korona Kielce,korona-kielce,Bąk D.,makana-baku,legia-warszawa,2023/24,past_season_other_club,84,sim>=0.85:0.857,Makana Nsimba BakuLegia Warszawa
Korona Kielce,korona-kielce,Bąk D.,sinan-baks,gornik-zabrze,2024/25,past_season_other_club,84,sim>=0.85:0.857,Sinan BakışGórnik Zabrze
Korona Kielce,korona-kielce,Mamla R.,rafa-mamla,korona-kielce,2024/25,past_season_same_club,107,exact_nonfirst_ascii | exact_nonfirst_slugstyle | last_token_exact | last_token_slugstyle | token_overlap_ascii:mamla | token_overlap_slug:mamla | sim>=0.92:1.000 | initial_match | same_club_bonus,Rafał MamlaKorona Kielce
Lech Poznań,lech-poznan,Andersson E.,nils-erik-elias-andersson,lech-poznan,2023/24,past_season_same_club,95,last_token_exact | last_token_slugstyle | token_overlap_ascii:andersson | token_overlap_slug:andersson | same_club_bonus,Nils Erik Elias AnderssonLech Poznań
Lech Poznań,lech-poznan,Andersson E.,nils-erik-elias-andersson,lech-poznan,2024/25,past_season_same_club,95,last_token_exact | last_token_slugstyle | token_overlap_ascii:andersson | token_overlap_slug:andersson | same_club_bonus,Nils Erik Elias AnderssonLech Poznań
Lech Poznań,lech-poznan,Baranski B.,bartomiej-pawe-baranski,ruch-chorzow,2023/24,past_season_other_club,96,last_token_exact | last_token_slugstyle | token_overlap_ascii:baranski | token_overlap_slug:baranski | sim>=0.78:0.800 | initial_match,Bartłomiej Paweł BarańskiRuch Chorzów
