kolejka,gospodarz,gosc,mecze_treningowe,gole_gosp,gole_gosc,suma_goli,wynik_1x2,btts_rzecz,over05_rzecz,over15_rzecz,over25_rzecz,over35_rzecz,lambda_home,lambda_away,lambda_total,p_home,p_draw,p_away,wynik_pred,czy_trafil,log_loss,p_btts,p_under_05,p_under_15,p_under_25,p_under_35,p_over_05,p_over_15,p_over_25,p_over_35,blad_lambda_home,blad_lambda_away
28,Cracovia,Arka Gdynia,855,2,2,4,D,1,1,1,1,1,1.9375,0.8766,2.8141,0.6223,0.2141,0.1635,H,0,1.5412,0.4997,0.06,0.2287,0.4661,0.6888,0.94,0.7713,0.5339,0.3112,0.0625,1.1234
28,Lech Poznań,GKS Katowice,855,3,3,6,D,1,1,1,1,1,1.9387,1.0297,2.9684,0.5854,0.2181,0.1965,H,0,1.523,0.5504,0.0514,0.2039,0.4303,0.6543,0.9486,0.7961,0.5697,0.3457,1.0613,1.9703
28,Piast Gliwice,Pogoń Szczecin,855,0,2,2,A,0,1,1,0,0,1.3015,1.1156,2.4171,0.4079,0.274,0.3181,H,0,1.1453,0.4893,0.0892,0.3047,0.5652,0.7751,0.9108,0.6953,0.4348,0.2249,1.3015,0.8844
28,Widzew Łódź,Bruk-Bet Termalica Nieciecza,855,1,0,1,H,0,1,0,0,0,1.8266,1.0659,2.8925,0.5518,0.2288,0.2195,H,1,0.5946,0.5501,0.0554,0.2158,0.4477,0.6713,0.9446,0.7842,0.5523,0.3287,0.8266,1.0659
29,Arka Gdynia,Jagiellonia Białystok,864,0,3,3,A,0,1,1,1,0,1.1693,1.8059,2.9752,0.2462,0.231,0.5228,A,1,0.6486,0.5761,0.051,0.2029,0.4288,0.6528,0.949,0.7971,0.5712,0.3472,1.1693,1.1941
29,Bruk-Bet Termalica Nieciecza,Wisła Płock,864,1,3,4,A,1,1,1,1,1,0.9402,1.1591,2.0993,0.2953,0.2972,0.4075,A,1,0.8978,0.4182,0.1225,0.3798,0.6498,0.8388,0.8775,0.6202,0.3502,0.1612,0.0598,1.8409
29,Legia Warszawa,Zagłębie Lubin,864,1,0,1,H,0,1,0,0,0,1.6654,0.9669,2.6323,0.5377,0.2436,0.2188,H,1,0.6205,0.5025,0.0719,0.2612,0.5104,0.729,0.9281,0.7388,0.4896,0.271,0.6654,0.9669
29,Lechia Gdańsk,Piast Gliwice,864,1,1,2,D,1,1,1,0,0,1.6574,1.2775,2.9349,0.4633,0.2412,0.2955,H,0,1.422,0.5838,0.0531,0.2091,0.4379,0.6618,0.9469,0.7909,0.5621,0.3382,0.6574,0.2775
29,Górnik Zabrze,Korona Kielce,864,1,0,1,H,0,1,0,0,0,1.4054,0.8615,2.2669,0.4971,0.2726,0.2303,H,1,0.6991,0.4358,0.1036,0.3386,0.6048,0.806,0.8964,0.6614,0.3952,0.194,0.4054,0.8615
29,Radomiak Radom,Widzew Łódź,864,2,1,3,H,1,1,1,1,0,1.5976,1.1685,2.7661,0.4731,0.2479,0.2789,H,1,0.7484,0.5497,0.0629,0.2369,0.4776,0.6995,0.9371,0.7631,0.5224,0.3005,0.4024,0.1685
29,Pogoń Szczecin,Lech Poznań,864,1,2,3,A,1,1,1,1,0,1.5863,1.4561,3.0424,0.4082,0.2405,0.3513,H,0,1.0461,0.6099,0.0477,0.1929,0.4138,0.6377,0.9523,0.8071,0.5862,0.3623,0.5863,0.5439
29,GKS Katowice,Motor Lublin,864,3,2,5,H,1,1,1,1,1,1.8708,1.163,3.0338,0.5391,0.2256,0.2353,H,1,0.6179,0.5816,0.0481,0.1942,0.4157,0.6397,0.9519,0.8058,0.5843,0.3603,1.1292,0.837
29,Raków Częstochowa,Cracovia,864,4,1,5,H,1,1,1,1,1,1.6262,0.8971,2.5233,0.5454,0.2474,0.2072,H,1,0.6062,0.4758,0.0802,0.2825,0.5378,0.7526,0.9198,0.7175,0.4622,0.2474,2.3738,0.1029
30,Wisła Płock,Radomiak Radom,873,0,1,1,A,0,1,0,0,0,1.4276,0.8329,2.2605,0.5104,0.2704,0.2192,H,0,1.5178,0.4296,0.1043,0.3401,0.6065,0.8073,0.8957,0.6599,0.3935,0.1927,1.4276,0.1671
30,Lechia Gdańsk,Raków Częstochowa,873,1,2,3,A,1,1,1,1,0,1.4361,1.6349,3.071,0.3375,0.2385,0.4239,A,1,0.8582,0.6135,0.0464,0.1888,0.4075,0.6313,0.9536,0.8112,0.5925,0.3687,0.4361,0.3651
30,Zagłębie Lubin,Bruk-Bet Termalica Nieciecza,873,1,2,3,A,1,1,1,1,0,1.9146,1.0361,2.9507,0.5786,0.2204,0.201,H,0,1.6044,0.5501,0.0523,0.2066,0.4343,0.6583,0.9477,0.7934,0.5657,0.3417,0.9146,0.9639
30,Korona Kielce,GKS Katowice,873,1,1,2,D,1,1,1,0,0,1.3349,1.1415,2.4764,0.4112,0.27,0.3188,H,0,1.3093,0.5015,0.0841,0.2922,0.5499,0.7626,0.9159,0.7078,0.4501,0.2374,0.3349,0.1415
30,Cracovia,Pogoń Szczecin,873,1,1,2,D,1,1,1,0,0,1.5605,1.3551,2.9156,0.4229,0.2456,0.3316,H,0,1.4042,0.5862,0.0542,0.2121,0.4424,0.6662,0.9458,0.7879,0.5576,0.3338,0.5605,0.3551
30,Lech Poznań,Legia Warszawa,873,4,0,4,H,0,1,1,1,1,1.7741,1.1008,2.8749,0.5314,0.2336,0.235,H,1,0.6323,0.5542,0.0564,0.2186,0.4518,0.6753,0.9436,0.7814,0.5482,0.3247,2.2259,1.1008
30,Jagiellonia Białystok,Górnik Zabrze,873,1,2,3,A,1,1,1,1,0,1.6824,1.0538,2.7362,0.5207,0.2419,0.2374,H,0,1.4381,0.5303,0.0648,0.2422,0.4848,0.7061,0.9352,0.7578,0.5152,0.2939,0.6824,0.9462
30,Piast Gliwice,Arka Gdynia,873,4,1,5,H,1,1,1,1,1,1.6119,0.7612,2.3731,0.5769,0.2478,0.1754,H,1,0.5502,0.4266,0.0932,0.3144,0.5768,0.7843,0.9068,0.6856,0.4232,0.2157,2.3881,0.2388
30,Widzew Łódź,Motor Lublin,873,2,0,2,H,0,1,1,0,0,1.5725,1.1591,2.7316,0.469,0.2502,0.2808,H,1,0.7571,0.5438,0.0651,0.243,0.4859,0.7071,0.9349,0.757,0.5141,0.2929,0.4275,1.1591
31,Arka Gdynia,Górnik Zabrze,882,0,0,0,D,0,0,0,0,0,1.0088,1.4993,2.5081,0.2546,0.2598,0.4856,A,0,1.348,0.4935,0.0814,0.2857,0.5418,0.7559,0.9186,0.7143,0.4582,0.2441,1.0088,1.4993
