kolejka,gospodarz,gosc,gole_gosp,gole_gosc,wynik_1x2,lambda_home,lambda_away,p_home_log,p_draw_log,p_away_log,log_loss_log,log_loss_base
18,Arka Gdynia,Motor Lublin,1,0,H,1.0752920222228741,1.4375716904661702,0.3555,0.3473,0.2972,1.0343,1.2644
18,Bruk-Bet Termalica Nieciecza,Jagiellonia Białystok,2,1,H,1.3610251524464603,1.7931288735901685,0.3233,0.3984,0.2783,1.1293,1.2293
18,Lechia Gdańsk,Górnik Zabrze,5,2,H,1.428639442934054,1.370417054151078,0.4149,0.3144,0.2707,0.8796,0.9498
18,Pogoń Szczecin,Radomiak Radom,2,2,D,1.9407847667097395,1.1899419132132343,0.5224,0.2505,0.227,1.3841,1.5134
18,Korona Kielce,Wisła Płock,1,1,D,1.3041901257521609,0.934026673040302,0.4862,0.2464,0.2674,1.4008,1.2662
18,Cracovia,Lech Poznań,2,2,D,1.2269701685718513,1.2591176224008953,0.4102,0.3062,0.2835,1.1834,1.306
18,Raków Częstochowa,GKS Katowice,1,0,H,1.6718579713509665,0.9136401676580335,0.5414,0.2221,0.2365,0.6136,0.5934
18,Piast Gliwice,Legia Warszawa,2,0,H,1.101886816257595,1.3323612825774835,0.3792,0.3266,0.2942,0.9696,1.1759
18,Zagłębie Lubin,Widzew Łódź,2,1,H,1.3719865067053556,1.1442618870584838,0.4531,0.2776,0.2693,0.7917,0.8662
19,Wisła Płock,Raków Częstochowa,2,1,H,0.95650022384972,1.1043038054053886,0.4221,0.2939,0.284,0.8626,1.1683
19,Bruk-Bet Termalica Nieciecza,Cracovia,0,1,A,1.1877653135423714,1.348812370624887,0.4232,0.3124,0.2644,1.3304,0.9045
19,Legia Warszawa,Korona Kielce,1,2,A,1.6950189156722792,1.0127072555386587,0.5198,0.2498,0.2303,1.4682,1.489
19,Motor Lublin,Pogoń Szczecin,2,1,H,1.4901831666902228,1.70350556991818,0.4191,0.3416,0.2393,0.8696,1.085
19,Zagłębie Lubin,GKS Katowice,0,2,A,1.483130317450061,1.1855111054424108,0.4757,0.2793,0.245,1.4067,1.1939
19,Górnik Zabrze,Piast Gliwice,2,1,H,1.4374876144046942,0.918446826180251,0.499,0.2518,0.2492,0.6951,0.7104
19,Radomiak Radom,Arka Gdynia,3,1,H,1.7555700661575528,0.8376246861686996,0.5457,0.2286,0.2257,0.6057,0.525
19,Lech Poznań,Lechia Gdańsk,1,3,A,1.987947394025588,1.0689345256988447,0.5486,0.2415,0.2099,1.561,1.6156
19,Widzew Łódź,Jagiellonia Białystok,1,3,A,1.411147536563662,1.4930332622784668,0.4334,0.3193,0.2473,1.3973,0.9299
20,Arka Gdynia,Legia Warszawa,2,2,D,0.9110001071071019,1.6671371225048237,0.3611,0.3425,0.2964,1.0715,1.4142
20,Lechia Gdańsk,Cracovia,1,1,D,1.3984739311908754,1.3363335562029164,0.445,0.2826,0.2724,1.2636,1.3621
20,Górnik Zabrze,Lech Poznań,0,1,A,1.3186445490281604,1.2822913488041836,0.4452,0.2818,0.273,1.2984,1.0228
20,Pogoń Szczecin,Bruk-Bet Termalica Nieciecza,1,1,D,2.17888462635856,1.027714394123428,0.5537,0.2132,0.2331,1.5454,1.627
20,Korona Kielce,Zagłębie Lubin,1,2,A,1.4695067069284276,1.0085489427728185,0.4947,0.2479,0.2574,1.3572,1.3493
20,GKS Katowice,Widzew Łódź,1,0,H,1.4420682645953655,1.2059101758354351,0.466,0.2678,0.2661,0.7635,0.855
20,Raków Częstochowa,Radomiak Radom,0,0,D,1.63143082612908,0.9386626814452892,0.5181,0.2332,0.2488,1.456,1.3984
20,Jagiellonia Białystok,Motor Lublin,4,1,H,2.13682372393965,1.2257732835973518,0.524,0.2328,0.2433,0.6463,0.5412
20,Piast Gliwice,Wisła Płock,1,0,H,1.2111940470927551,0.9345447250251719,0.482,0.2548,0.2632,0.7298,0.8577
21,Wisła Płock,Widzew Łódź,0,2,A,1.2511693003442308,1.0511149907783193,0.4652,0.2648,0.27,1.3095,1.1717
21,Bruk-Bet Termalica Nieciecza,Górnik Zabrze,1,1,D,1.1994437828641595,1.3995001734498613,0.4101,0.3114,0.2785,1.1666,1.3379
21,Motor Lublin,Lechia Gdańsk,2,3,A,1.7623894329692358,1.4409624352065797,0.4496,0.2981,0.2523,1.3771,1.1516
21,Zagłębie Lubin,Raków Częstochowa,0,0,D,1.0661219965786608,1.2692356169282308,0.4182,0.2985,0.2833,1.2091,1.2755
21,Radomiak Radom,Korona Kielce,0,2,A,1.409920555696936,1.229966352355153,0.4521,0.2823,0.2656,1.3256,1.1147
21,Pogoń Szczecin,Arka Gdynia,1,0,H,2.135957482967568,0.810435008791649,0.5738,0.2077,0.2185,0.5554,0.3875
21,Cracovia,Jagiellonia Białystok,0,0,D,1.5040196657697071,1.3376853706773257,0.4438,0.2932,0.2629,1.2268,1.3875
21,GKS Katowice,Legia Warszawa,1,1,D,1.2669796430843276,1.5325726429463535,0.3961,0.3272,0.2767,1.1171,1.3851
21,Lech Poznań,Piast Gliwice,3,0,H,1.6676123855022462,0.8628974891261171,0.5275,0.2288,0.2437,0.6396,0.5723
22,Arka Gdynia,GKS Katowice,2,1,H,1.0677323540613866,1.315354127167317,0.3806,0.3329,0.2866,0.9661,1.1961
22,Legia Warszawa,Wisła Płock,2,1,H,1.7563083531482204,0.9057814996661319,0.5424,0.216,0.2416,0.6118,0.5542
