kolejka,gospodarz,gosc,mecze_treningowe,gole_gosp,gole_gosc,suma_goli,wynik_1x2,btts_rzecz,over05_rzecz,over15_rzecz,over25_rzecz,over35_rzecz,lambda_home,lambda_away,lambda_total,rho,p_home,p_draw,p_away,wynik_pred,czy_trafil,log_loss,p_btts,p_under_05,p_under_15,p_under_25,p_under_35,p_over_05,p_over_15,p_over_25,p_over_35,blad_lambda_home,blad_lambda_away,jest_beniaminek,ben_druzyna,n_mecze_ben,waga_priora
31,Motor Lublin,Lech Poznań,882,0,1,1,A,0,1,0,0,0,1.357,1.7911,3.1481,-0.0704,0.2845,0.2454,0.4701,A,1,0.7549,0.6187,0.0503,0.1708,0.3909,0.6141,0.9497,0.8292,0.6091,0.3859,1.357,0.7911,0,,,
31,Zagłębie Lubin,Cracovia,882,0,0,0,D,0,0,0,0,0,1.4234,1.1934,2.6168,-0.0704,0.4145,0.2783,0.3072,H,0,1.279,0.529,0.0818,0.2554,0.5142,0.7323,0.9182,0.7446,0.4858,0.2677,1.4234,1.1934,0,,,
31,Radomiak Radom,Lechia Gdańsk,882,3,1,4,H,1,1,1,1,1,2.1262,1.6142,3.7404,-0.0704,0.491,0.2199,0.2891,H,1,0.7113,0.7054,0.0295,0.1068,0.2787,0.4858,0.9705,0.8932,0.7213,0.5142,0.8738,0.6142,0,,,
31,Pogoń Szczecin,Wisła Płock,882,3,0,3,H,0,1,1,1,0,1.3741,0.848,2.2221,-0.0704,0.483,0.2944,0.2226,H,1,0.7278,0.427,0.1173,0.3403,0.6168,0.815,0.8827,0.6597,0.3832,0.185,1.6259,0.848,1,Wisła Płock,30.0,0.25
31,Korona Kielce,Piast Gliwice,882,1,1,2,D,1,1,1,0,0,1.128,0.9232,2.0512,-0.0704,0.3927,0.3205,0.2868,H,0,1.1379,0.4076,0.138,0.3829,0.6628,0.8478,0.862,0.6171,0.3372,0.1522,0.128,0.0768,0,,,
31,GKS Katowice,Bruk-Bet Termalica Nieciecza,882,5,1,6,H,1,1,1,1,1,2.0826,1.0142,3.0968,-0.0704,0.6128,0.218,0.1692,H,1,0.4898,0.5579,0.0519,0.1784,0.4019,0.6256,0.9481,0.8216,0.5981,0.3744,2.9174,0.0142,1,Bruk-Bet Termalica Nieciecza,30.0,0.25
31,Raków Częstochowa,Jagiellonia Białystok,882,0,2,2,A,0,1,1,0,0,1.5761,1.1096,2.6857,-0.0704,0.473,0.2676,0.2594,H,0,1.3493,0.5317,0.0766,0.2429,0.4971,0.7172,0.9234,0.7571,0.5029,0.2828,1.5761,0.8904,0,,,
32,Wisła Płock,Motor Lublin,891,0,4,4,A,0,1,1,1,1,1.3286,0.9252,2.2538,-0.0734,0.4505,0.2985,0.251,H,0,1.3824,0.4437,0.1145,0.3322,0.6083,0.8087,0.8855,0.6678,0.3917,0.1913,1.3286,3.0748,1,Wisła Płock,31.0,0.2439
32,Bruk-Bet Termalica Nieciecza,Legia Warszawa,891,0,1,1,A,0,1,0,0,0,1.2215,1.6123,2.8338,-0.0734,0.281,0.2627,0.4562,A,1,0.7847,0.5646,0.0673,0.2169,0.4614,0.6844,0.9327,0.7831,0.5386,0.3156,1.2215,0.6123,1,Bruk-Bet Termalica Nieciecza,31.0,0.2439
32,Górnik Zabrze,Zagłębie Lubin,891,0,2,2,A,0,1,1,0,0,1.4804,0.852,2.3324,-0.0734,0.5106,0.2819,0.2075,H,0,1.5728,0.443,0.106,0.3145,0.5875,0.7927,0.894,0.6855,0.4125,0.2073,1.4804,1.148,0,,,
32,Cracovia,Radomiak Radom,891,0,0,0,D,0,0,0,0,0,1.7822,1.2378,3.02,-0.0734,0.4938,0.2484,0.2578,H,0,1.3928,0.5905,0.0567,0.1883,0.4187,0.6428,0.9433,0.8117,0.5813,0.3572,1.7822,1.2378,0,,,
32,Lech Poznań,Arka Gdynia,891,1,1,2,D,1,1,1,0,0,2.5237,0.7489,3.2726,-0.0734,0.754,0.162,0.084,H,0,1.8203,0.4848,0.0432,0.1568,0.3651,0.5866,0.9568,0.8432,0.6349,0.4134,1.5237,0.2511,1,Arka Gdynia,31.0,0.2439
