flash_team,klub_slug_expected,flash_name
Warta Poznań,warta-poznan,Sarbinowski S.
Warta Poznań,warta-poznan,Savic S.
Warta Poznań,warta-poznan,Stavropoulos D.
Warta Poznań,warta-poznan,Szmyt K.
Warta Poznań,warta-poznan,Szymonowicz D.
Warta Poznań,warta-poznan,Tiru B.
Warta Poznań,warta-poznan,Tonder F.
Warta Poznań,warta-poznan,Vizinger D.
Warta Poznań,warta-poznan,Wajman J.
Warta Poznań,warta-poznan,Zrelak A.
Warta Poznań,warta-poznan,Żurawski M.
Widzew Łódź,widzew-lodz,Alvarez F.
Widzew Łódź,widzew-lodz,Ciganiks A.
Widzew Łódź,widzew-lodz,Cybulski K.
Widzew Łódź,widzew-lodz,Dawid I.
Widzew Łódź,widzew-lodz,Diliberto N.
Widzew Łódź,widzew-lodz,Gikiewicz R.
Widzew Łódź,widzew-lodz,Hanousek Mar.
Widzew Łódź,widzew-lodz,Hansen K.
Widzew Łódź,widzew-lodz,Ibiza
Widzew Łódź,widzew-lodz,Kastrati L. II.
Widzew Łódź,widzew-lodz,Kerk S.
Widzew Łódź,widzew-lodz,Klimek A.
Widzew Łódź,widzew-lodz,Krajcirik I.
Widzew Łódź,widzew-lodz,Krzywanski J.
Widzew Łódź,widzew-lodz,Kun D.
Widzew Łódź,widzew-lodz,Kwiatkowski P.
Widzew Łódź,widzew-lodz,Milos M.
Widzew Łódź,widzew-lodz,Nunes F.
Widzew Łódź,widzew-lodz,Pawłowski B.
Widzew Łódź,widzew-lodz,Przybulek F.
Widzew Łódź,widzew-lodz,Ravas H.
Widzew Łódź,widzew-lodz,Rondic I.
Widzew Łódź,widzew-lodz,Sanchez J.
Widzew Łódź,widzew-lodz,Shehu J.
Widzew Łódź,widzew-lodz,Silva L.
Widzew Łódź,widzew-lodz,Stepinski P.
Widzew Łódź,widzew-lodz,Szota S.
Widzew Łódź,widzew-lodz,Szymański J.
Widzew Łódź,widzew-lodz,Terpiłowski E.
Widzew Łódź,widzew-lodz,Tkacz D.
Widzew Łódź,widzew-lodz,Zieliński P.
Widzew Łódź,widzew-lodz,Żyro M.
Zagłębie Lubin,zagebie-lubin,Bohar D.
Zagłębie Lubin,zagebie-lubin,Buletsa S.
Zagłębie Lubin,zagebie-lubin,Buric J.
Zagłębie Lubin,zagebie-lubin,Chodyna K.
Zagłębie Lubin,zagebie-lubin,Dioudis S.
Zagłębie Lubin,zagebie-lubin,Dąbrowski D.
Zagłębie Lubin,zagebie-lubin,Gaprindashvili T.
Zagłębie Lubin,zagebie-lubin,Grzybek M.
Zagłębie Lubin,zagebie-lubin,Kirkeskov M.
Zagłębie Lubin,zagebie-lubin,Kocaba F.
Zagłębie Lubin,zagebie-lubin,Kopacz B.
Zagłębie Lubin,zagebie-lubin,Kruk K.
Zagłębie Lubin,zagebie-lubin,Kurminowski D.
Zagłębie Lubin,zagebie-lubin,Kusztal P.
Zagłębie Lubin,zagebie-lubin,Kłudka B.
Zagłębie Lubin,zagebie-lubin,Makowski T.
Zagłębie Lubin,zagebie-lubin,Mata L.
Zagłębie Lubin,zagebie-lubin,Mróz M.
Zagłębie Lubin,zagebie-lubin,Munoz J.
Zagłębie Lubin,zagebie-lubin,Nalepa M.
Zagłębie Lubin,zagebie-lubin,Orlikowski I.
Zagłębie Lubin,zagebie-lubin,Pieńko T.
Zagłębie Lubin,zagebie-lubin,Poletanovic M.
Zagłębie Lubin,zagebie-lubin,Terlecki K.
Zagłębie Lubin,zagebie-lubin,Wdowiak M.
Zagłębie Lubin,zagebie-lubin,Weirauch S.
Zagłębie Lubin,zagebie-lubin,Woźniak A.
Zagłębie Lubin,zagebie-lubin,Ławniczak A.
ŁKS Łódź,lks-lodz,Arndt D.
ŁKS Łódź,lks-lodz,Bakowicz M.
ŁKS Łódź,lks-lodz,Balic H.
ŁKS Łódź,lks-lodz,Balongo N.
ŁKS Łódź,lks-lodz,Bobek A.
ŁKS Łódź,lks-lodz,Ceijas T.
ŁKS Łódź,lks-lodz,Dani Ramirez
ŁKS Łódź,lks-lodz,Dankowski K.
ŁKS Łódź,lks-lodz,Durmisi R.
ŁKS Łódź,lks-lodz,Fase A.
ŁKS Łódź,lks-lodz,Flis M.
ŁKS Łódź,lks-lodz,Glapka G.
ŁKS Łódź,lks-lodz,Gulen L.
ŁKS Łódź,lks-lodz,Głowacki P.
