match_id,kolejka,data_meczu,gospodarz,gosc,gole_gosp,gole_gosc,strzaly_gosp,strzaly_gosc,celne_gosp,celne_gosc,flash_id,flash_url,strzaly_gosp_flash,strzaly_gosc_flash,celne_gosp_flash,celne_gosc_flash,xg_gosp_flash,xg_gosc_flash
1721,5,2023-08-18,Górnik Zabrze,Widzew Łódź,1.0,1.0,6.0,16.0,3.0,4.0,xI5UVtLm,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=xI5UVtLm,6,14,3,4,,
1722,5,2023-08-18,Zagłębie Lubin,Puszcza Niepołomice,1.0,0.0,14.0,16.0,8.0,4.0,G84YU0zf,https://www.flashscore.pl/mecz/pilka-nozna/puszcza-dtqx13O8/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=G84YU0zf,14,16,8,4,,
1723,5,2023-08-20,Legia Warszawa,Korona Kielce,1.0,0.0,16.0,8.0,5.0,1.0,AV3xUKk0,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/legia-warszawa-K6kUepBs/szczegoly/statystyki/?mid=AV3xUKk0,17,8,5,1,,
1724,5,2023-08-19,Radomiak Radom,Warta Poznań,3.0,2.0,11.0,14.0,5.0,6.0,M57tTv56,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=M57tTv56,12,15,5,7,,
1725,5,2023-08-19,Raków Częstochowa,Stal Mielec,2.0,0.0,16.0,9.0,5.0,2.0,4UdoSbKC,https://www.flashscore.pl/mecz/pilka-nozna/rakow-czestochowa-SQOrbYim/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=4UdoSbKC,16,9,5,2,,
1726,5,2023-08-19,Ruch Chorzów,Jagiellonia Białystok,0.0,1.0,14.0,12.0,3.0,4.0,rLekRIZI,https://www.flashscore.pl/mecz/pilka-nozna/jagiellonia-bialystok-lIDaZJTc/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=rLekRIZI,13,11,3,4,,
1727,5,2023-08-20,ŁKS Łódź,Pogoń Szczecin,1.0,0.0,14.0,16.0,5.0,4.0,WzkXk2CJ,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=WzkXk2CJ,13,16,5,4,,
1728,5,2023-08-20,Śląsk Wrocław,Lech Poznań,3.0,1.0,13.0,15.0,3.0,3.0,ARmykMRP,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/slask-wroclaw-E1Oxemse/szczegoly/statystyki/?mid=ARmykMRP,13,15,3,3,,
1729,6,2023-08-27,Jagiellonia Białystok,Górnik Zabrze,4.0,1.0,20.0,8.0,8.0,1.0,G8Q3ptzs,https://www.flashscore.pl/mecz/pilka-nozna/gornik-zabrze-2LH3Ywq4/jagiellonia-bialystok-lIDaZJTc/szczegoly/statystyki/?mid=G8Q3ptzs,21,8,9,1,,
1730,6,2023-08-27,Korona Kielce,Zagłębie Lubin,2.0,0.0,18.0,8.0,6.0,3.0,UBU7q0km,https://www.flashscore.pl/mecz/pilka-nozna/korona-kielce-pp78XcbA/zaglebie-lubin-tlYOere0/szczegoly/statystyki/?mid=UBU7q0km,18,8,6,3,,
1731,6,2023-09-28,Lech Poznań,Raków Częstochowa,4.0,1.0,12.0,7.0,6.0,2.0,OYTBrK4g,https://www.flashscore.pl/mecz/pilka-nozna/lech-poznan-OpNH7Ouf/rakow-czestochowa-SQOrbYim/szczegoly/statystyki/?mid=OYTBrK4g,12,7,6,2,,
1732,6,2023-08-26,Piast Gliwice,Ruch Chorzów,0.0,0.0,17.0,7.0,6.0,0.0,2PSFsvKa,https://www.flashscore.pl/mecz/pilka-nozna/piast-gliwice-ve2oT9ck/ruch-chorzow-S4zygtuJ/szczegoly/statystyki/?mid=2PSFsvKa,18,8,6,1,,
1733,6,2023-09-27,Pogoń Szczecin,Legia Warszawa,3.0,4.0,16.0,17.0,5.0,6.0,rypDtbZ5,https://www.flashscore.pl/mecz/pilka-nozna/legia-warszawa-K6kUepBs/pogon-szczecin-Um9YwPQ0/szczegoly/statystyki/?mid=rypDtbZ5,16,17,5,6,,
1734,6,2023-08-26,Puszcza Niepołomice,ŁKS Łódź,2.0,1.0,14.0,11.0,4.0,3.0,MRrHuIlC,https://www.flashscore.pl/mecz/pilka-nozna/lks-lodz-ShUKWHDG/puszcza-dtqx13O8/szczegoly/statystyki/?mid=MRrHuIlC,14,11,4,3,,
1735,6,2023-08-25,Stal Mielec,Radomiak Radom,2.0,0.0,6.0,13.0,2.0,1.0,GlrLvx4I,https://www.flashscore.pl/mecz/pilka-nozna/radomiak-radom-zD5nYhAT/stal-mielec-pxXiDZkQ/szczegoly/statystyki/?mid=GlrLvx4I,6,13,2,1,,
1736,6,2023-08-26,Warta Poznań,Cracovia,0.0,0.0,2.0,13.0,0.0,1.0,UinPwdJO,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/warta-poznan-CrVUWAl8/szczegoly/statystyki/?mid=UinPwdJO,2,14,0,1,,
1737,6,2023-08-25,Widzew Łódź,Śląsk Wrocław,0.0,2.0,14.0,13.0,1.0,5.0,WdQ72udP,https://www.flashscore.pl/mecz/pilka-nozna/slask-wroclaw-E1Oxemse/widzew-lodz-rNOIW3uC/szczegoly/statystyki/?mid=WdQ72udP,14,13,1,5,,
1738,7,2023-09-02,Cracovia,Korona Kielce,0.0,0.0,14.0,7.0,3.0,2.0,Y5CZca4t,https://www.flashscore.pl/mecz/pilka-nozna/cracovia-KvXSf2A6/korona-kielce-pp78XcbA/szczegoly/statystyki/?mid=Y5CZca4t,14,7,3,2,,
